Sub Department Group,Item (Code),Product Long Name (EN),Sub Department,Budget Class,Collection,Class,Fabric (Code),Group of Level Price (shortname),Is High,IS_X,IS_Y,SubDepartment_Macro,Size_1
FJ,BZJ,'2796 757 2970 2891 2542 2869,X975C,Budget Class 16,Collection 12,Class 9,201.0,HETI,1,False,False,X975C,
FJ,7N9,'3445 1904 1077 2970 2891 2896 3801 2542,N15MO,Budget Class 16,Collection 12,Class 19,201.0,HETI,1,False,False,N15MO,
FJ,OEW,'3445 1904 3589 2970 2891 2896 3801 2542,HGG8G,Budget Class 16,Collection 12,Class 27,201.0,HETI,1,False,False,HGG8G,
FJ,83M,'2796 496 2970 2891 2542 2869,5SY0X,Budget Class 16,Collection 12,Class 7,201.0,ITI,1,False,False,,
FJ,U3S,'2796 757 2970 2891 2542 2869,X975C,Budget Class 16,Collection 12,Class 9,201.0,HETI,1,False,False,X975C,
FJ,90J,'2796 202 2970 2891 2542 2869,F9TFQ,Budget Class 16,Collection 12,Class 23,201.0,HETI,1,False,False,F9TFQ,
FJ,7QU,'1409,5SY0X,Budget Class 12,Collection 15,Class 29,202.0,ATI,0,False,False,,
FJ,QW4,'3445 1152 496 2970 2891 331 1298 2440 1596 230,5SY0X,Budget Class 16,Collection 12,Class 29,304.0,HETI,1,False,False,,
FJ,RL9,'2841 1152 496 1085 2891 331 1298 1596 1085 2027,5SY0X,Budget Class 16,Collection 15,Class 29,304.0,HETI,1,False,False,,
FJ,P52,'424 2400 1169 496 1085 2891 2542,5SY0X,Budget Class 16,Collection 19,Class 29,304.0,HETI,1,False,False,,
FJ,8O3,'2038 2374 496 2970 2891 1062 1563 1837 354 1108,5SY0X,Budget Class 16,Collection 5,Class 29,201.0,HETI,1,False,False,,
FJ,KY8,'424 882 3589 3456 3809 2970 2891 2542,HGG8G,Budget Class 16,Collection 19,Class 27,201.0,HETI,1,False,False,HGG8G,
FJ,JL6,'424 882 757 3456 3809 2970 2891 2542,X975C,Budget Class 16,Collection 19,Class 20,201.0,HETI,1,False,False,X975C,
FJ,9E7,'815 1730 1152 496 2970 2891 1085 2891 1387 378,5SY0X,Budget Class 16,Collection 5,Class 29,201.0,HETI,1,False,False,,
FJ,9P2,'368 202 2970 2891 2542,F9TFQ,Budget Class 16,Collection 10,Class 23,201.0,ITI,1,False,False,F9TFQ,
FJ,YIY,'368 757 2970 2891 2542,X975C,Budget Class 16,Collection 10,Class 20,201.0,ITI,1,False,False,X975C,
FJ,MIR,'1409,5SY0X,Budget Class 4,Collection 4,Class 29,202.0,ATI,0,False,False,,
FJ,DFF,'368 496 2970 2891 2542,5SY0X,Budget Class 16,Collection 10,Class 7,201.0,ITI,1,False,False,,
FJ,HKE,'1601 3589 668 2542 2731 3809,HGG8G,Budget Class 16,Collection 10,Class 31,303.0,HETI,1,False,False,HGG8G,
FJ,7UR,'1601 3589 668 2542 2190 3809,HGG8G,Budget Class 16,Collection 10,Class 31,303.0,HETI,1,False,False,HGG8G,
FJ,3WQ,'1847 1021 1077 668 2542,N15MO,Budget Class 16,Collection 10,Class 12,303.0,HETI,1,False,False,N15MO,
FJ,4QO,'1688 1178 3445 496 2731 3809 2970 2891 2896 2002,5SY0X,Budget Class 16,Collection 12,Class 29,201.0,ITI,1,False,False,,
FJ,IWK,'1688 1178 3445 757 2731 3809 2970 2891 2896,X975C,Budget Class 16,Collection 12,Class 8,201.0,HETI,1,False,False,X975C,
FJ,CYF,'424 3587 757 2970 2891 2896 3801 2542,X975C,Budget Class 16,Collection 19,Class 20,201.0,HETI,1,False,False,X975C,
FJ,SC8,'342 1880 1152 496 1085 2891 2970 2891 2756 559 3480,5SY0X,Budget Class 16,Collection 5,Class 29,304.0,HETI,1,False,False,,
FJ,0HG,'2703 1152 496 1085 2891 462 1596 1789 2542,5SY0X,Budget Class 16,Collection 5,Class 29,202.0,HETI,1,False,False,,
FJ,0XF,'1601 3124 2489 668 2542,CPPDR,Budget Class 16,Collection 10,Class 39,303.0,HETI,1,False,False,CPPDR,
FJ,D5J,'1409,5SY0X,Budget Class 4,Collection 4,Class 7,202.0,ATI,0,False,False,,
